bench,bpred,size,frmt,metric,value
gcc,tscl,16KB,1,reverse_bpred_addr_rate,0.9366
gcc,tscl,16KB,1,reverse_bpred_dir_rate,0.9641
gcc,tscl,16KB,1,reverse_bpred_jr_rate,0.7941
gcc,tscl,16KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,tscl,16KB,1,reverse_retstack_pushes,121385
gcc,tscl,16KB,1,reverse_retstack_pops,121396
gcc,tscl,16KB,1,reverse_used_ras.PP,121385
gcc,tscl,16KB,1,reverse_ras_hits.PP,121385
gcc,tscl,16KB,1,reverse_ras_rate.PP,1.0000
gcc,tscl,16KB,0,lookups,2428534
gcc,tscl,16KB,0,updates,2060457
gcc,tscl,16KB,0,addr_hits,1843645
gcc,tscl,16KB,0,dir_hits,1905459
gcc,tscl,16KB,0,misses,154998
gcc,tscl,16KB,0,jr_hits,134545
gcc,tscl,16KB,0,jr_seen,174461
gcc,tscl,16KB,0,jr_non_ras_hits.PP,17126
gcc,tscl,16KB,0,jr_non_ras_seen.PP,53076
gcc,tscl,16KB,0,bpred_addr_rate,0.8948
gcc,tscl,16KB,0,bpred_dir_rate,0.9248
gcc,tscl,16KB,0,bpred_jr_rate,0.7712
gcc,tscl,16KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,tscl,16KB,0,retstack_pushes,149487
gcc,tscl,16KB,0,retstack_pops,134320
gcc,tscl,16KB,0,used_ras.PP,121385
gcc,tscl,16KB,0,ras_hits.PP,117419
gcc,tscl,16KB,0,ras_rate.PP,0.9673
gcc,tscl,16KB,0,reverse_lookups,2060457
gcc,tscl,16KB,0,reverse_updates,2060457
gcc,tscl,16KB,0,reverse_addr_hits,1631008
gcc,tscl,16KB,0,reverse_dir_hits,1691755
gcc,tscl,16KB,0,reverse_misses,368702
gcc,tscl,16KB,0,reverse_jr_hits,138533
gcc,tscl,16KB,0,reverse_jr_seen,174461
gcc,tscl,16KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,tscl,16KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,tscl,16KB,0,reverse_bpred_addr_rate,0.7916
gcc,tscl,16KB,0,reverse_bpred_dir_rate,0.8211
gcc,tscl,16KB,0,reverse_bpred_jr_rate,0.7941
gcc,tscl,16KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,tscl,16KB,0,reverse_retstack_pushes,121385
gcc,tscl,16KB,0,reverse_retstack_pops,121396
gcc,tscl,16KB,0,reverse_used_ras.PP,121385
gcc,tscl,16KB,0,reverse_ras_hits.PP,121385
gcc,tscl,16KB,0,reverse_ras_rate.PP,1.0000
gcc,tscl,1MB,1,lookups,2411059
gcc,tscl,1MB,1,updates,2060457
gcc,tscl,1MB,1,addr_hits,1861563
gcc,tscl,1MB,1,dir_hits,1924064
gcc,tscl,1MB,1,misses,136393
gcc,tscl,1MB,1,jr_hits,134591
gcc,tscl,1MB,1,jr_seen,174461
gcc,tscl,1MB,1,jr_non_ras_hits.PP,17126
gcc,tscl,1MB,1,jr_non_ras_seen.PP,53076
gcc,tscl,1MB,1,bpred_addr_rate,0.9035
gcc,tscl,1MB,1,bpred_dir_rate,0.9338
gcc,tscl,1MB,1,bpred_jr_rate,0.7715
gcc,tscl,1MB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,tscl,1MB,1,retstack_pushes,148456
gcc,tscl,1MB,1,retstack_pops,133822
gcc,tscl,1MB,1,used_ras.PP,121385
gcc,tscl,1MB,1,ras_hits.PP,117465
gcc,tscl,1MB,1,ras_rate.PP,0.9677
gcc,tscl,1MB,1,reverse_lookups,2060457
gcc,tscl,1MB,1,reverse_updates,2060457
gcc,tscl,1MB,1,reverse_addr_hits,1924903
