benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
compress,ob,1MB,1048576,twin,10000000,1.3762,0.9311,0.9984,0.9271,0.9984,0,0,0,0
compress,oht,16KB,16384,frmt,10000000,1.3169,0.9107,0.9874,0.9044,0.9874,0,0,0,0
compress,oht,16KB,16384,twin,10000000,1.3169,0.9107,0.9876,0.9044,0.9876,0,0,0,0
compress,oht,32KB,32768,frmt,10000000,1.3286,0.9157,0.9909,0.9098,0.9909,0,0,0,0
compress,oht,32KB,32768,twin,10000000,1.3286,0.9157,0.9911,0.9098,0.9911,0,0,0,0
compress,oht,64KB,65536,frmt,10000000,1.3485,0.9221,0.9948,0.9181,0.9948,0,0,0,0
compress,oht,64KB,65536,twin,10000000,1.3485,0.9221,0.9949,0.9181,0.9949,0,0,0,0
compress,oht,128KB,131072,frmt,10000000,1.3564,0.9248,0.9925,0.9207,0.9925,0,0,0,0
compress,oht,128KB,131072,twin,10000000,1.3564,0.9248,0.9927,0.9207,0.9927,0,0,0,0
compress,oht,256KB,262144,frmt,10000000,1.3654,0.9275,0.9943,0.9234,0.9943,0,0,0,0
compress,oht,256KB,262144,twin,10000000,1.3654,0.9275,0.9945,0.9234,0.9945,0,0,0,0
compress,oht,512KB,524288,frmt,10000000,1.3701,0.9292,0.9951,0.9251,0.9951,0,0,0,0
compress,oht,512KB,524288,twin,10000000,1.3701,0.9292,0.9954,0.9251,0.9954,0,0,0,0
compress,oht,1MB,1048576,frmt,10000000,1.3762,0.9311,0.9936,0.9271,0.9936,0,0,0,0
compress,oht,1MB,1048576,twin,10000000,1.3762,0.9311,0.9940,0.9271,0.9940,0,0,0,0
compress,tscl,16KB,16384,frmt,10000002,1.1497,0.8499,0.9401,0.8498,0.9401,1343198,173971,1547501,1547504
compress,tscl,16KB,16384,twin,10000002,1.1497,0.8499,0.9264,0.8498,0.9264,1431137,174442,1547513,1547483
compress,tscl,32KB,32768,frmt,10000002,1.1505,0.8503,0.9546,0.8502,0.9546,1320065,187881,1544408,1544410
compress,tscl,32KB,32768,twin,10000002,1.1504,0.8502,0.9481,0.8501,0.9481,1313769,187765,1544465,1544435
compress,tscl,64KB,65536,frmt,10000002,1.1512,0.8506,0.9771,0.8505,0.9771,1320858,204033,1537831,1537833
compress,tscl,64KB,65536,twin,10000002,1.1512,0.8506,0.9918,0.8505,0.9918,1250160,203833,1537830,1537800
compress,tscl,128KB,131072,frmt,10000002,1.1485,0.8495,0.9803,0.8494,0.9803,1359966,225427,1538597,1538599
compress,tscl,128KB,131072,twin,10000002,1.1485,0.8495,0.9942,0.8494,0.9942,1331857,225000,1538466,1538436
compress,tscl,256KB,262144,frmt,10000002,1.1513,0.8506,0.9823,0.8505,0.9823,1337523,241496,1529590,1529590
compress,tscl,256KB,262144,twin,10000002,1.1513,0.8506,0.9948,0.8505,0.9948,1170882,239280,1530228,1530198
compress,tscl,512KB,524288,frmt,10000002,1.1498,0.8504,0.9876,0.8503,0.9876,1359465,263961,1525814,1525814
compress,tscl,512KB,524288,twin,10000002,1.1502,0.8505,0.9972,0.8504,0.9972,1141708,262404,1524965,1524934
compress,tscl,1MB,1048576,frmt,10000002,1.1537,0.8522,0.9952,0.8521,0.9952,1335161,277009,1516459,1516459
compress,tscl,1MB,1048576,twin,10000002,1.1543,0.8524,0.9987,0.8523,0.9987,1110977,275326,1515662,1515631
gcc,bimod,16KB,16384,frmt,10000000,0.7909,0.9126,0.8668,0.8833,0.8415,0,0,0,0
gcc,bimod,16KB,16384,twin,10000000,0.7909,0.9126,0.9135,0.8833,0.8866,,,,
gcc,bimod,32KB,32768,frmt,10000000,0.7913,0.9137,0.8851,0.8842,0.8599,0,0,0,0
gcc,bimod,32KB,32768,twin,10000000,0.7913,0.9137,0.9148,0.8842,0.8875,,,,
gcc,bimod,64KB,65536,frmt,10000000,0.7924,0.9173,0.8958,0.8877,0.8704,0,0,0,0
gcc,bimod,64KB,65536,twin,10000000,0.7924,0.9173,0.9184,0.8877,0.8910,,,,
gcc,bimod,128KB,131072,frmt,10000000,0.7927,0.9177,0.9030,0.8880,0.8771,0,0,0,0
gcc,bimod,128KB,131072,twin,10000000,0.7927,0.9177,0.9189,0.8880,0.8913,,,,
gcc,bimod,256KB,262144,frmt,10000000,0.7927,0.9178,0.9106,0.8881,0.8841,0,0,0,0
gcc,bimod,256KB,262144,twin,10000000,0.7928,0.9178,0.9191,0.8881,0.8915,,,,
gcc,bimod,512KB,524288,frmt,10000000,0.7927,0.9178,0.9135,0.8881,0.8866,0,0,0,0
gcc,bimod,512KB,524288,twin,10000000,0.7928,0.9178,0.9191,0.8881,0.8915,,,,
gcc,bimod,1MB,1048576,frmt,10000000,0.7927,0.9178,0.9147,0.8881,0.8874,0,0,0,0
gcc,bimod,1MB,1048576,twin,10000000,0.7928,0.9178,0.9191,0.8881,0.8915,,,,
gcc,gshare,16KB,16384,frmt,10000000,0.7863,0.8949,0.9283,0.8661,0.9020,0,0,0,0
gcc,gshare,16KB,16384,twin,10000003,0.7856,0.8947,0.9319,0.8659,0.9053,,,,
gcc,gshare,32KB,32768,frmt,10000000,0.7927,0.9043,0.9357,0.8752,0.9090,0,0,0,0
gcc,gshare,32KB,32768,twin,10000003,0.7919,0.9042,0.9436,0.8750,0.9163,,,,
gcc,gshare,64KB,65536,frmt,10000000,0.7992,0.9138,0.9408,0.8843,0.9137,0,0,0,0
gcc,gshare,64KB,65536,twin,10000003,0.7985,0.9137,0.9571,0.8843,0.9289,,,,
gcc,gshare,128KB,131072,frmt,10000000,0.8040,0.9204,0.9466,0.8907,0.9192,0,0,0,0
gcc,gshare,128KB,131072,twin,10000003,0.8032,0.9204,0.9701,0.8907,0.9412,,,,
gcc,gshare,256KB,262144,frmt,10000000,0.8063,0.9243,0.9505,0.8944,0.9228,0,0,0,0
gcc,gshare,256KB,262144,twin,10000003,0.8056,0.9242,0.9796,0.8944,0.9501,,,,
gcc,gshare,512KB,524288,frmt,10000000,0.8077,0.9263,0.9540,0.8964,0.9262,0,0,0,0
gcc,gshare,512KB,524288,twin,10000003,0.8069,0.9263,0.9855,0.8964,0.9556,,,,
gcc,gshare,1MB,1048576,frmt,10000000,0.8080,0.9269,0.9562,0.8970,0.9283,0,0,0,0
gcc,gshare,1MB,1048576,twin,10000003,0.8071,0.9269,0.9896,0.8970,0.9594,,,,
