bench,bpred,size,frmt,metric,value
ijpeg,inorder,0KB,0,reverse_bpred_dir_rate,0.9999
ijpeg,inorder,0KB,0,reverse_bpred_jr_rate,1.0000
ijpeg,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,1.0000
ijpeg,inorder,0KB,0,reverse_retstack_pushes,427815
ijpeg,inorder,0KB,0,reverse_retstack_pops,427821
ijpeg,inorder,0KB,0,reverse_used_ras.PP,427815
ijpeg,inorder,0KB,0,reverse_ras_hits.PP,427815
ijpeg,inorder,0KB,0,reverse_ras_rate.PP,1.0000
li,inorder,0KB,0,lookups,2492821
li,inorder,0KB,0,updates,2297377
li,inorder,0KB,0,addr_hits,2112276
li,inorder,0KB,0,dir_hits,2138986
li,inorder,0KB,0,misses,158391
li,inorder,0KB,0,jr_hits,364151
li,inorder,0KB,0,jr_seen,392197
li,inorder,0KB,0,jr_non_ras_hits.PP,67575
li,inorder,0KB,0,jr_non_ras_seen.PP,81846
li,inorder,0KB,0,bpred_addr_rate,0.9194
li,inorder,0KB,0,bpred_dir_rate,0.9311
li,inorder,0KB,0,bpred_jr_rate,0.9285
li,inorder,0KB,0,bpred_jr_non_ras_rate.PP,0.8256
li,inorder,0KB,0,retstack_pushes,359530
li,inorder,0KB,0,retstack_pops,325111
li,inorder,0KB,0,used_ras.PP,310351
li,inorder,0KB,0,ras_hits.PP,296576
li,inorder,0KB,0,ras_rate.PP,0.9556
li,inorder,0KB,0,reverse_lookups,2297377
li,inorder,0KB,0,reverse_updates,2297377
li,inorder,0KB,0,reverse_addr_hits,2124006
li,inorder,0KB,0,reverse_dir_hits,2136232
li,inorder,0KB,0,reverse_misses,161145
li,inorder,0KB,0,reverse_jr_hits,377930
li,inorder,0KB,0,reverse_jr_seen,392197
li,inorder,0KB,0,reverse_jr_non_ras_hits.PP,67579
li,inorder,0KB,0,reverse_jr_non_ras_seen.PP,81846
li,inorder,0KB,0,reverse_bpred_addr_rate,0.9245
li,inorder,0KB,0,reverse_bpred_dir_rate,0.9299
li,inorder,0KB,0,reverse_bpred_jr_rate,0.9636
li,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,0.8257
li,inorder,0KB,0,reverse_retstack_pushes,310351
li,inorder,0KB,0,reverse_retstack_pops,310651
li,inorder,0KB,0,reverse_used_ras.PP,310351
li,inorder,0KB,0,reverse_ras_hits.PP,310351
li,inorder,0KB,0,reverse_ras_rate.PP,1.0000
perl,inorder,0KB,0,lookups,2160195
perl,inorder,0KB,0,updates,2039308
perl,inorder,0KB,0,addr_hits,1861079
perl,inorder,0KB,0,dir_hits,1948930
perl,inorder,0KB,0,misses,90378
perl,inorder,0KB,0,jr_hits,172820
perl,inorder,0KB,0,jr_seen,266397
perl,inorder,0KB,0,jr_non_ras_hits.PP,15615
perl,inorder,0KB,0,jr_non_ras_seen.PP,104421
perl,inorder,0KB,0,bpred_addr_rate,0.9126
perl,inorder,0KB,0,bpred_dir_rate,0.9557
perl,inorder,0KB,0,bpred_jr_rate,0.6487
perl,inorder,0KB,0,bpred_jr_non_ras_rate.PP,0.1495
perl,inorder,0KB,0,retstack_pushes,166768
perl,inorder,0KB,0,retstack_pops,164095
perl,inorder,0KB,0,used_ras.PP,161976
perl,inorder,0KB,0,ras_hits.PP,157205
perl,inorder,0KB,0,ras_rate.PP,0.9705
perl,inorder,0KB,0,reverse_lookups,2039308
perl,inorder,0KB,0,reverse_updates,2039308
perl,inorder,0KB,0,reverse_addr_hits,1866157
perl,inorder,0KB,0,reverse_dir_hits,1948188
perl,inorder,0KB,0,reverse_misses,91120
perl,inorder,0KB,0,reverse_jr_hits,177607
perl,inorder,0KB,0,reverse_jr_seen,266397
perl,inorder,0KB,0,reverse_jr_non_ras_hits.PP,15631
perl,inorder,0KB,0,reverse_jr_non_ras_seen.PP,104421
perl,inorder,0KB,0,reverse_bpred_addr_rate,0.9151
perl,inorder,0KB,0,reverse_bpred_dir_rate,0.9553
perl,inorder,0KB,0,reverse_bpred_jr_rate,0.6667
perl,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,0.1497
perl,inorder,0KB,0,reverse_retstack_pushes,161976
perl,inorder,0KB,0,reverse_retstack_pops,162059
perl,inorder,0KB,0,reverse_used_ras.PP,161976
perl,inorder,0KB,0,reverse_ras_hits.PP,161976
perl,inorder,0KB,0,reverse_ras_rate.PP,1.0000
gcc,inorder,0KB,0,sim_num_insn,10000001
gcc,inorder,0KB,0,sim_num_refs,3825300
gcc,inorder,0KB,0,sim_num_loads,2544359
gcc,inorder,0KB,0,sim_num_stores,1280941.0000
gcc,inorder,0KB,0,sim_num_branches,2060457
gcc,inorder,0KB,0,sim_elapsed_time,7
gcc,inorder,0KB,0,sim_inst_rate,1428571.5714
gcc,inorder,0KB,0,sim_total_insn,10306637
gcc,inorder,0KB,0,sim_total_refs,3951142
gcc,inorder,0KB,0,sim_total_loads,2653076
gcc,inorder,0KB,0,sim_total_stores,1298066.0000
gcc,inorder,0KB,0,sim_total_branches,2099603
gcc,inorder,0KB,0,sim_cycle,18050364
gcc,inorder,0KB,0,sim_IPC,0.5540
gcc,inorder,0KB,0,sim_CPI,1.8050
gcc,inorder,0KB,0,sim_exec_BW,0.5710
gcc,inorder,0KB,0,sim_IPB,4.8533
gcc,inorder,0KB,0,sim_slip,63606983
gcc,inorder,0KB,0,avg_sim_slip,6.3607
gcc,inorder,0KB,0,sim_invalid_addrs,0
go,inorder,0KB,0,sim_num_insn,10000001
