bench,bpred,size,frmt,metric,value
gcc,ob,1MB,0,addr_hits,1848206
gcc,ob,1MB,0,dir_hits,1909819
gcc,ob,1MB,0,misses,150638
gcc,ob,1MB,0,jr_hits,135118
gcc,ob,1MB,0,jr_seen,174461
gcc,ob,1MB,0,jr_non_ras_hits.PP,17126
gcc,ob,1MB,0,jr_non_ras_seen.PP,53076
gcc,ob,1MB,0,bpred_addr_rate,0.8970
gcc,ob,1MB,0,bpred_dir_rate,0.9269
gcc,ob,1MB,0,bpred_jr_rate,0.7745
gcc,ob,1MB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,1MB,0,retstack_pushes,148252
gcc,ob,1MB,0,retstack_pops,135636
gcc,ob,1MB,0,used_ras.PP,121385
gcc,ob,1MB,0,ras_hits.PP,117992
gcc,ob,1MB,0,ras_rate.PP,0.9720
gcc,ob,1MB,0,reverse_lookups,2060457
gcc,ob,1MB,0,reverse_updates,2060457
gcc,ob,1MB,0,reverse_addr_hits,1976839
gcc,ob,1MB,0,reverse_dir_hits,2038999
gcc,ob,1MB,0,reverse_misses,21458
gcc,ob,1MB,0,reverse_jr_hits,138533
gcc,ob,1MB,0,reverse_jr_seen,174461
gcc,ob,1MB,0,reverse_jr_non_ras_hits.PP,17148
gcc,ob,1MB,0,reverse_jr_non_ras_seen.PP,53076
gcc,ob,1MB,0,reverse_bpred_addr_rate,0.9594
gcc,ob,1MB,0,reverse_bpred_dir_rate,0.9896
gcc,ob,1MB,0,reverse_bpred_jr_rate,0.7941
gcc,ob,1MB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,1MB,0,reverse_retstack_pushes,121385
gcc,ob,1MB,0,reverse_retstack_pops,121396
gcc,ob,1MB,0,reverse_used_ras.PP,121385
gcc,ob,1MB,0,reverse_ras_hits.PP,121385
gcc,ob,1MB,0,reverse_ras_rate.PP,1.0000
gcc,ob,256KB,1,lookups,2331603
gcc,ob,256KB,1,updates,2060457
gcc,ob,256KB,1,addr_hits,1842910
gcc,ob,256KB,1,dir_hits,1904360
gcc,ob,256KB,1,misses,156097
gcc,ob,256KB,1,jr_hits,135011
gcc,ob,256KB,1,jr_seen,174461
gcc,ob,256KB,1,jr_non_ras_hits.PP,17126
gcc,ob,256KB,1,jr_non_ras_seen.PP,53076
gcc,ob,256KB,1,bpred_addr_rate,0.8944
gcc,ob,256KB,1,bpred_dir_rate,0.9242
gcc,ob,256KB,1,bpred_jr_rate,0.7739
gcc,ob,256KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,256KB,1,retstack_pushes,148530
gcc,ob,256KB,1,retstack_pops,135869
gcc,ob,256KB,1,used_ras.PP,121385
gcc,ob,256KB,1,ras_hits.PP,117885
gcc,ob,256KB,1,ras_rate.PP,0.9712
gcc,ob,256KB,1,reverse_lookups,2060457
gcc,ob,256KB,1,reverse_updates,2060457
gcc,ob,256KB,1,reverse_addr_hits,1904833
gcc,ob,256KB,1,reverse_dir_hits,1961920
gcc,ob,256KB,1,reverse_misses,98537
gcc,ob,256KB,1,reverse_jr_hits,138533
gcc,ob,256KB,1,reverse_jr_seen,174461
gcc,ob,256KB,1,reverse_jr_non_ras_hits.PP,17148
