bench,bpred,size,metric,value
go,gshare,512KB_frmt,retstack_pushes,77939
go,gshare,512KB_frmt,retstack_pops,79075
go,gshare,512KB_frmt,used_ras.PP,68122
go,gshare,512KB_frmt,ras_hits.PP,67077
go,gshare,512KB_frmt,ras_rate.PP,0.9847
go,gshare,512KB_frmt,reverse_lookups,1810313
go,gshare,512KB_frmt,reverse_updates,1810313
go,gshare,512KB_frmt,reverse_addr_hits,1739469
go,gshare,512KB_frmt,reverse_dir_hits,1744614
go,gshare,512KB_frmt,reverse_misses,65699
go,gshare,512KB_frmt,reverse_jr_hits,75506
go,gshare,512KB_frmt,reverse_jr_seen,79564
go,gshare,512KB_frmt,reverse_jr_non_ras_hits.PP,7384
go,gshare,512KB_frmt,reverse_jr_non_ras_seen.PP,11442
go,gshare,512KB_frmt,reverse_bpred_addr_rate,0.9609
go,gshare,512KB_frmt,reverse_bpred_dir_rate,0.9637
go,gshare,512KB_frmt,reverse_bpred_jr_rate,0.9490
go,gshare,512KB_frmt,reverse_bpred_jr_non_ras_rate.PP,0.6453
go,gshare,512KB_frmt,reverse_retstack_pushes,68122
go,gshare,512KB_frmt,reverse_retstack_pops,68129
go,gshare,512KB_frmt,reverse_used_ras.PP,68122
go,gshare,512KB_frmt,reverse_ras_hits.PP,68122
go,gshare,512KB_frmt,reverse_ras_rate.PP,1.0000
go,gshare,512KB,lookups,2118342
go,gshare,512KB,updates,1810313
go,gshare,512KB,addr_hits,1672288
go,gshare,512KB,dir_hits,1679676
go,gshare,512KB,misses,130637
go,gshare,512KB,jr_hits,74456
go,gshare,512KB,jr_seen,79564
go,gshare,512KB,jr_non_ras_hits.PP,7379
go,gshare,512KB,jr_non_ras_seen.PP,11442
go,gshare,512KB,bpred_addr_rate,0.9238
go,gshare,512KB,bpred_dir_rate,0.9278
go,gshare,512KB,bpred_jr_rate,0.9358
go,gshare,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,gshare,512KB,retstack_pushes,77939
go,gshare,512KB,retstack_pops,79075
go,gshare,512KB,used_ras.PP,68122
go,gshare,512KB,ras_hits.PP,67077
go,gshare,512KB,ras_rate.PP,0.9847
go,gshare,512KB,reverse_lookups,1810313
go,gshare,512KB,reverse_updates,1810313
go,gshare,512KB,reverse_addr_hits,1775026
go,gshare,512KB,reverse_dir_hits,1780657
go,gshare,512KB,reverse_misses,29656
go,gshare,512KB,reverse_jr_hits,75506
go,gshare,512KB,reverse_jr_seen,79564
go,gshare,512KB,reverse_jr_non_ras_hits.PP,7384
go,gshare,512KB,reverse_jr_non_ras_seen.PP,11442
go,gshare,512KB,reverse_bpred_addr_rate,0.9805
go,gshare,512KB,reverse_bpred_dir_rate,0.9836
go,gshare,512KB,reverse_bpred_jr_rate,0.9490
go,gshare,512KB,reverse_bpred_jr_non_ras_rate.PP,0.6453
go,gshare,512KB,reverse_retstack_pushes,68122
go,gshare,512KB,reverse_retstack_pops,68129
go,gshare,512KB,reverse_used_ras.PP,68122
go,gshare,512KB,reverse_ras_hits.PP,68122
go,gshare,512KB,reverse_ras_rate.PP,1.0000
go,gshare,64KB_frmt,lookups,2131845
go,gshare,64KB_frmt,updates,1810313
go,gshare,64KB_frmt,addr_hits,1660481
go,gshare,64KB_frmt,dir_hits,1667936
go,gshare,64KB_frmt,misses,142377
go,gshare,64KB_frmt,jr_hits,74432
go,gshare,64KB_frmt,jr_seen,79564
go,gshare,64KB_frmt,jr_non_ras_hits.PP,7379
go,gshare,64KB_frmt,jr_non_ras_seen.PP,11442
go,gshare,64KB_frmt,bpred_addr_rate,0.9172
go,gshare,64KB_frmt,bpred_dir_rate,0.9214
go,gshare,64KB_frmt,bpred_jr_rate,0.9355
go,gshare,64KB_frmt,bpred_jr_non_ras_rate.PP,0.6449
go,gshare,64KB_frmt,retstack_pushes,78132
go,gshare,64KB_frmt,retstack_pops,78833
go,gshare,64KB_frmt,used_ras.PP,68122
go,gshare,64KB_frmt,ras_hits.PP,67053
go,gshare,64KB_frmt,ras_rate.PP,0.9843
go,gshare,64KB_frmt,reverse_lookups,1810313
go,gshare,64KB_frmt,reverse_updates,1810313
go,gshare,64KB_frmt,reverse_addr_hits,1728844
