bench,bpred,size,frmt,metric,value
gcc,bimod,16KB,1,reverse_bpred_addr_rate,0.8699
gcc,bimod,16KB,1,reverse_bpred_dir_rate,0.8953
gcc,bimod,16KB,1,reverse_bpred_jr_rate,0.7941
gcc,bimod,16KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,16KB,1,reverse_retstack_pushes,121385
gcc,bimod,16KB,1,reverse_retstack_pops,121396
gcc,bimod,16KB,1,reverse_used_ras.PP,121385
gcc,bimod,16KB,1,reverse_ras_hits.PP,121385
gcc,bimod,16KB,1,reverse_ras_rate.PP,1.0000
gcc,bimod,16KB,0,lookups,2458077
gcc,bimod,16KB,0,updates,2060457
gcc,bimod,16KB,0,addr_hits,1820030
gcc,bimod,16KB,0,dir_hits,1880250
gcc,bimod,16KB,0,misses,180207
gcc,bimod,16KB,0,jr_hits,134463
gcc,bimod,16KB,0,jr_seen,174461
gcc,bimod,16KB,0,jr_non_ras_hits.PP,17126
gcc,bimod,16KB,0,jr_non_ras_seen.PP,53076
gcc,bimod,16KB,0,bpred_addr_rate,0.8833
gcc,bimod,16KB,0,bpred_dir_rate,0.9125
gcc,bimod,16KB,0,bpred_jr_rate,0.7707
gcc,bimod,16KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,16KB,0,retstack_pushes,153362
gcc,bimod,16KB,0,retstack_pops,135540
gcc,bimod,16KB,0,used_ras.PP,121385
gcc,bimod,16KB,0,ras_hits.PP,117337
gcc,bimod,16KB,0,ras_rate.PP,0.9667
gcc,bimod,16KB,0,reverse_lookups,2060457
gcc,bimod,16KB,0,reverse_updates,2060457
gcc,bimod,16KB,0,reverse_addr_hits,1826737
gcc,bimod,16KB,0,reverse_dir_hits,1882244
gcc,bimod,16KB,0,reverse_misses,178213
gcc,bimod,16KB,0,reverse_jr_hits,138533
gcc,bimod,16KB,0,reverse_jr_seen,174461
gcc,bimod,16KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,16KB,0,reverse_jr_non_ras_seen.PP,53076
